log_size,precomp,c,msm_time(ms)
11.0,7.0,11.0,1.95
11.0,7.0,12.0,6.539
11.0,7.0,13.0,1.825
11.0,7.0,14.0,6.638
11.0,7.0,15.0,1.805
11.0,7.0,16.0,2.367
11.0,7.0,17.0,5.586
11.0,7.0,18.0,8.204
11.0,7.0,19.0,4.755
11.0,7.0,20.0,7.673
11.0,7.0,21.0,14.951
11.0,7.0,22.0,24.149
11.0,7.0,23.0,51.534
11.0,8.0,9.0,1.974
11.0,8.0,10.0,2.737
11.0,8.0,11.0,1.764
11.0,8.0,12.0,6.614
11.0,8.0,13.0,1.796
11.0,8.0,14.0,6.667
11.0,8.0,15.0,1.818
11.0,8.0,16.0,1.711
11.0,8.0,17.0,2.165
11.0,8.0,18.0,7.597
11.0,8.0,19.0,4.116
11.0,8.0,20.0,7.101
11.0,8.0,21.0,15.804
11.0,8.0,22.0,27.806
11.0,8.0,23.0,45.2
11.0,9.0,9.0,2.041
11.0,9.0,10.0,2.682
11.0,9.0,11.0,1.851
11.0,9.0,12.0,6.944
11.0,9.0,13.0,1.863
11.0,9.0,14.0,6.815
11.0,9.0,15.0,1.516
11.0,9.0,16.0,3.765
11.0,9.0,17.0,2.13
11.0,9.0,18.0,7.737
11.0,9.0,19.0,4.13
11.0,9.0,20.0,11.479
11.0,9.0,21.0,14.755
11.0,9.0,22.0,23.334
11.0,9.0,23.0,54.29
11.0,10.0,9.0,4.61
11.0,10.0,10.0,2.823
11.0,10.0,11.0,1.83
11.0,10.0,12.0,6.547
11.0,10.0,13.0,1.971
11.0,10.0,14.0,6.588
11.0,10.0,15.0,1.542
11.0,10.0,16.0,1.714
11.0,10.0,17.0,2.154
11.0,10.0,18.0,7.645
11.0,10.0,19.0,7.378
11.0,10.0,20.0,7.968
11.0,10.0,21.0,14.593
11.0,10.0,22.0,23.789
11.0,10.0,23.0,50.116
11.0,11.0,9.0,1.997
11.0,11.0,10.0,2.991
11.0,11.0,11.0,2.225
11.0,11.0,12.0,6.345
11.0,11.0,13.0,1.893
11.0,11.0,14.0,6.446
11.0,11.0,15.0,1.536
11.0,11.0,16.0,1.762
11.0,11.0,17.0,2.142
11.0,11.0,18.0,7.7
11.0,11.0,19.0,4.156
11.0,11.0,20.0,7.17
11.0,11.0,21.0,15.035
11.0,11.0,22.0,25.117
11.0,11.0,23.0,55.512
11.0,12.0,9.0,2.216
11.0,12.0,10.0,2.761
11.0,12.0,11.0,1.532
11.0,12.0,12.0,6.203
11.0,12.0,13.0,1.628
11.0,12.0,14.0,6.457
11.0,12.0,15.0,1.541
11.0,12.0,16.0,1.712
11.0,12.0,17.0,5.334
11.0,12.0,18.0,7.641
11.0,12.0,19.0,4.515
11.0,12.0,20.0,6.767
11.0,12.0,21.0,15.602
11.0,12.0,22.0,11.965
11.0,12.0,23.0,26.5
11.0,13.0,9.0,2.159
11.0,13.0,10.0,3.3
11.0,13.0,11.0,8.481
11.0,13.0,12.0,6.224
11.0,13.0,13.0,1.629
11.0,13.0,14.0,6.403
11.0,13.0,15.0,1.525
11.0,13.0,16.0,1.722
11.0,13.0,17.0,2.13
11.0,13.0,18.0,7.347
11.0,13.0,19.0,4.284
11.0,13.0,20.0,3.885
11.0,13.0,21.0,11.25
11.0,13.0,22.0,12.573
11.0,13.0,23.0,27.881
11.0,14.0,9.0,2.056
11.0,14.0,10.0,3.257
11.0,14.0,11.0,1.555
11.0,14.0,12.0,6.33
11.0,14.0,13.0,1.601
11.0,14.0,14.0,6.564
11.0,14.0,15.0,1.523
11.0,14.0,16.0,1.717
11.0,14.0,17.0,2.659
11.0,14.0,18.0,7.677
11.0,14.0,19.0,2.508
11.0,14.0,20.0,4.337
11.0,14.0,21.0,10.982
11.0,14.0,22.0,11.726
11.0,14.0,23.0,30.626
11.0,15.0,9.0,1.968
11.0,15.0,10.0,2.889
11.0,15.0,11.0,1.903
11.0,15.0,12.0,6.368
11.0,15.0,13.0,1.606
11.0,15.0,14.0,6.202
11.0,15.0,15.0,1.796
11.0,15.0,16.0,1.739
11.0,15.0,17.0,2.287
11.0,15.0,18.0,6.801
11.0,15.0,19.0,2.463
11.0,15.0,20.0,4.263
11.0,15.0,21.0,10.422
11.0,15.0,22.0,11.799
11.0,15.0,23.0,23.777
11.0,16.0,9.0,2.482
11.0,16.0,10.0,2.906
11.0,16.0,11.0,1.62
11.0,16.0,12.0,6.359
11.0,16.0,13.0,1.599
11.0,16.0,14.0,6.626
11.0,16.0,15.0,1.992
11.0,16.0,16.0,1.288
11.0,16.0,17.0,1.556
11.0,16.0,18.0,6.644
11.0,16.0,19.0,2.489
11.0,16.0,20.0,6.644
11.0,16.0,21.0,10.5
11.0,16.0,22.0,13.344
11.0,16.0,23.0,23.706
11.0,17.0,9.0,2.133
11.0,17.0,10.0,2.746
11.0,17.0,11.0,1.586
11.0,17.0,12.0,6.299
11.0,17.0,13.0,1.591
11.0,17.0,14.0,6.46
11.0,17.0,15.0,1.255
11.0,17.0,16.0,1.306
11.0,17.0,17.0,1.542
11.0,17.0,18.0,6.975
11.0,17.0,19.0,2.484
11.0,17.0,20.0,4.143
11.0,17.0,21.0,10.226
11.0,17.0,22.0,12.986
11.0,17.0,23.0,25.706
11.0,18.0,9.0,6.995
11.0,18.0,10.0,2.836
11.0,18.0,11.0,1.607
11.0,18.0,12.0,6.377
11.0,18.0,13.0,1.593
11.0,18.0,14.0,6.498
11.0,18.0,15.0,2.131
11.0,18.0,16.0,1.786
11.0,18.0,17.0,1.545
11.0,18.0,18.0,6.632
11.0,18.0,19.0,2.544
11.0,18.0,20.0,3.9
